| Nombre | Modelo | DESCRIPCION | PRECIO |
| Botón de Pánico Inalámbrico PG9938 | PG9938 | BOTÓN DE PÁNICO INALAMBRICO CON TECNOLOGÍA POWER G COMPATIBLE CON NEO, PRO, QOLSYS E IOTEGA | 1063.97 |
| Botón de Paro de Emergencia APBSEMC | APBSEMC | BOTÓN DE PARO DE EMERGENCIA / SALIDA DE EMERGENCIA EN COLOR ROJO / TIPO ENCLAVADO | 207.53 |
| Botón de Salida de Contacto Suave ACCESS840 | ACCESS840 | BOTÓN DE SALIDA DE CONTACTO SUAVE / PERFIL DELGADO | 470.48 |
| Botón de Salida Sin Contacto Exterior ACCESSZ73TW | ACCESSZ73TW | BOTÓN DE SALIDA SIN CONTACTO / EXTERIOR IP68 / RETARDO DE TIEMPO | 250.00 |
| Botón de Salida Sin Contacto DS-K7P04 | DS-K7P04 | BOTÓN DE SALIDA SIN CONTACTO / LED INDICADOR / NORMALMENTE ABIERTO Y CERRADO / DISTANCIA AJUSTABLE DE DETECCIÓN | 336.21 |
| Botonera Triple para Barreras XBS-SW-01 | XBS-SW-01 | BOTONERA TRIPLE PARA BARRERAS VEHICULARES, OPERADORES CORREDIZOS Y ABATIBLES. | 290.99 |
| Bracket en L para Chapa E941S600LQ | E941S600LQ | BRAKET EN L PARA CHAPA MAGNETICA E-941SA-600 | 500.00 |
| Cable Extensor 7m para Soluciones Móviles XMREXT7MV22 | XMREXT7MV22 | CABLE EXTENSOR CON CONECTOR TIPO AVIACIÓN DE 7M SOLO PARA SOLUCIONES DE VIDEOVIGILANCIA MÓVIL XMR | 250.00 |
| Cable HDMI 1.2m | HDMI1.2-2M | CABLE HDMI DE 1.2 M | 170.00 |
| Cable Pot Duplex Calibre 12 METCABPOTCAL12 | METCABPOTCAL12 | CABLE POT DUPLEX CALIBRE 12 | 34.48 |
| Cable VGA 3m | VGA3M | CABLE VGA 3M | 112.07 |
| Caja de Conexiones Exterior DS-1280ZJ-M | DS-1280ZJ-M | CAJA DE CONEXIONES DE EXTERIOR CON TAPA PARA CÁMARAS TIPO EYEBALL Y TURRET / IP66 | 405.17 |
| Caja de Conexiones Metálica DS-1280ZJ-XS | DS-1280ZJ-XS | CAJA DE CONEXIONES DE METAL / COMPATIBLE CON DS-2CD20XX, B8-TURBOXX, E8-TURBOXX**, LE7-TURBOXX, LB7-TURBOXX, | 293.13 |
| Caja de Montaje para Sirena SBB-CRL | SBB-CRL | CAJA DE MONTAJE EN TECHO, PARA SIRENA, COLOR ROJO, NUEVO DISEÑO MODERNO Y ELEGANTE | 732.76 |
| Sensor PIR 360° Inalámbrico DS-PDCL12-EG2-WB | DS-PDCL12-EG2-WB | (AX PRO) SENSOR PIR DE MOVIMIENTO CON COBERTURA DE 360° INALAMBRICO / USO EN INTERIOR | 710.12 |
| Torniquete Industrial AP-1000-HD | AP-1000-HD | 100% EXTERIOR, TORNIQUETE INDUSTRIAL EN ACERO INOXIDABLE, BIDIRECCIONAL, USO RUDO, ESPACIO PARA LECTORA DE PROXIMIDAD | 12750.00 |
| Adaptador Jack 3.5mm JR-52 | JR-52 | ADAPTADOR TIPO JACK DE 3.5 MM MACHO POLARIZADO DE 12 VCD CON TERMINALES DE TORNILLO. | 29.63 |
| Arco Detector de Metales ZK-D3180S | ZK-D3180S | ARCO DETECTOR DE METALES DE 18 ZONAS / SENSOR IR / CONTADOR DE PERSONAS / PANTALLA LCD 5.7 IN / FÁCIL DE PROGRAMAR MEDIANTE CONTROL REMOTO | 22120.69 |
| Cámara Bala 2MP DS-2CD1023G0-IUF(C) | DS-2CD1023G0-IUF(C) | BALA IP 2 MEGAPIXEL / LENTE 2.8 MM / MICRÓFONO INTEGRADO / 30 MTS IR EXIR / EXTERIOR IP66 / H.265 / POE / MICRO SD / ONVIF | 1785.00 |
| Bobina UTP Cat6 305m NUC6C04BU-FE | NUC6C04BU-FE | BOBINA DE CABLE UTP 305 M. DE COBRE, NETKEY, REELEX, AZUL, CATEGORÍA 6 (24 AWG), 1000MBPS, PVC (CM), DE 4 PARES | 5196.61 |
| Botón de Petición de Salida PRO800B | PRO800B | BOTÓN DE PETICIÓN DE SALIDA / COMPACTO / NO & NC. | 450.00 |
| Botón de Salida con Control Remoto ACCESK1LTR | ACCESK1LTR | BOTÓN DE SALIDA SIN CONTACTO CON CONTROL REMOTO / ILUMINACIÓN LED / DISTANCIA DE DETECCIÓN TOUCH AJUSTABLE | 550.00 |
| Cable de Parcheo UTP Cat6 1m LP-UT6-100-BU | LP-UT6-100-BU | CABLE DE PARCHEO UTP CAT6 - 1 M - AZUL | 66.99 |
| Carcasa Protectora para Frente de Calle DS-KABV8113-RS | DS-KABV8113-RS | CARCASA PROTECTORA PARA FRENTES DE CALLE DS-KV8X13WME1(B) / FRENTE DE CALLE QUEDA INSTALADO EN SUPERFICIE | 611.32 |
