| Nombre | Modelo | DESCRIPCION | PRECIO |
| Teclado LCD con Transceptor y Lector HS2LCDRFP9N | HS2LCDRFP9N | TECLADO CABLEADO LCD ALFANUMÉRICO CON TRANSCEPTOR INTEGRADO Y LECTOR DE PROXIMIDAD DE 32 CARACTERES ADMITE 128 ZONAS COMPATIBLE CON NEO | 4200.00 |
| Teclado de Iconos con Transceptor HS2ICNRF9 | HS2ICNRF9 | TECLADO CABLEADO DE ICONOS CON TRANSCEPTOR POWER G INTEGRADO 128 ZONAS COMPATIBLE CON NEO | 2800.00 |
| Control Remoto RF para Motores ACCESSRC02 | ACCESSRC02 | CONTROL REMOTO INALAMBRICO RF COMPATIBLE CON ACCESSFORCE Y FS1000SPEED | 542.60 |
| Cámara Bala IP 4MP 80m IR DS-2CD2T43G2-4I/28 | DS-2CD2T43G2-4I/28 | BALA IP 4 MEGAPIXEL / LENTE 2.8 MM / 80 MTS IR EXIR / EXTERIOR IP67 / WDR 120 DB / POE / VIDEOANALITICOS (FILTRO DE FALSAS ALARMAS) / ULTRA BAJA ILUMINACIÓN / ONVIF / MICROSD | 3366.49 |
| Domo PTZ IP 4MP 25x DarkFighter DS-2DE4425IW-DE(T5) | DS-2DE4425IW-DE(T5) | DOMO PTZ IP 4 MEGAPIXEL / 25X ZOOM / 100 MTS IR / EXTERIOR IP66 / DARKFIGHTER / ACUSENSE (EVITA FALSAS ALARMAS) / DETECCIÓN FACIAL / WDR 120 DB / ENTRADA Y SALIDA DE AUDIO Y ALARMAS / HLC / EIS / POE+ / MICROSD | 9667.35 |
| Gabinete de Pared 6U Perforado SR-1906-GFP-VR2 | SR-1906-GFP-VR2 | GABINETE DE PARED FIJO, PUERTA PERFORADA, RACK 19" DE 6 UR (600 X 355 X 523 MM)(AN X AL X PROF.) | 6389.44 |
| Bote 100 Plugs RJ45 Cat6 TC6-100 | TC6-100 | BOTE CON 100 PIEZAS DE PLUG MODULAR RJ45 CAT6 SIN BLINDAJE, CHAPADO DE ORO A 30 MICRAS PARA DURABILIDAD EXTREMA | 985.79 |
| Patch Cord Cat6 3ft Azul MC6-03-06B | MC6-03-06B | PATCH CORD MC6 MODULAR CAT6 UTP, CM/LS0H, 3FT, COLOR AZUL, VERSIÓN BULK (SIN EMPAQUE INDIVIDUAL) | 176.65 |
| Llavero 4 Botones 433MHz WS4939 | WS4939 | LLAVERO DE 4 BOTONES PROGRAMABLES INALÁMBRICO CON FRECUENCIA 433 MHZ COMPATIBLES CON POWER SERIES, IMPASSA Y MAXSYS | 1250.00 |
| Cerradura Eléctrica Izquierda ACCESSRIML | ACCESSRIML | CERRADURA ELÉCTRICA / INCLUYE LLAVE / EXTERIOR / IZQUIERDA | 1450.00 |
| Cable de Parcheo UTP Cat5e 2m LP-UT3-200-BU | LP-UT3-200-BU | CABLE DE PARCHEO UTP CAT5E - 2 M - AZUL | 90.00 |
| Placa de Pared Vertical 2 Puertos NK2FNIW | NK2FNIW | PLACA DE PARED VERTICAL, SALIDA PARA 2 PUERTOS KEYSTONE, COLOR BLANCO MATE | 56.00 |
| Regatón / Tapón de Hule 1" RE3038 | RE3038 | REGATÓN / TAPÓN DE HULE DE 1" IDEALM PARA POSTES DE CERCO ELECTRICO PIEZA | 15.00 |
| Metro Cerco Eléctrico 10 Líneas METCELEC60 | METCELEC60 | METRO DE CERCO ELECTRIFICADO A 10 LINEAS, ALAMBRADO ACERO INOXIDABLE, POSTE DE ACERO CEDULA 30 EN BLANCO O NEGRO Y LETRERO ALTO VOLTAJE. | 565.00 |
| Conectores CAT6 25 Piezas CAT 6 25 PZ | CAT 6 25 PZ | CONECTORES CAT 6 25PZ | 15.00 |
| Contacto Magnético Inalámbrico 433MHz WS4945 | WS4945 | CONTACTO MAGNÉTICO INALÁMBRICO DE PUERTA/VENTANA C/ENTRADA AUXILIAR COMPATIBLE CON POWER SERIES, IMPASSA Y MAXSYS | 1290.00 |
| CPE NanoStation LocoM2 LOCOM2 | LOCOM2 | NANOSTATION AIRMAX LOCOM2 CPE, HASTA 150 MBPS, FRECUENCIA 2 GHZ (2412-2462 MHZ) CON ANTENA INTEGRADA DE 8 DBI | 1717.00 |
| Kit Extensor HDMI 4K 120m TT683-4.0 | TT683-4.0 | KIT EXTENSOR HDMI PARA DISTANCIAS DE 120 METROS / RESOLUCIÓN 4K @ 30HZ / CAT 5E/6 / SOPORTA CONEXIÓN UNO A UNO Y UNO A MUCHOS / SOPORTA HASTA 253 RX / SALIDA LOOP / BAJA LATENCIA / USO 24/7 / SOPORTA HDBITT / COMPATIBLE CON SWITCH GIGABIT | 3276.00 |
| Cámara Bala TurboHD 2MP con Audio B8-TURBO-G2P/A | B8-TURBO-G2P/A | AUDIO POR COAXITRON / BALA TURBOHD 2 MEGAPIXEL (1080P) / GRAN ANGULAR 106° / LENTE 2.8 MM / 25 MTS IR EXIR / EXTERIOR IP66 / 4 TECNOLOGÍAS / DWDR | 1450.00 |
| Cable Alimentación Globalstar ARNESGLO | ARNESGLO | SMARTONE C CABLE DE ALIMENTACIÓN 8 - 22 V GLOBALSTAR | 2121.55 |
| Localizador GPS 100% Satelital GPS100SATEL | GPS100SATEL | SMARTONE C DE GLOBALSTAR LOCALIZADOR GPS 100% SATELITAL | 4640.00 |
| Caja Pelican Micro Case 1020 PELICAN1020 | PELICAN1020 | CAJA PELICAN MICRO CASE 1020, HERMÉTICO | 800.00 |
| Botón de Pánico Acero Inoxidable RP26 | RP26 | BOTÓN DE PÁNICO CON PLACA EN ACERO INOXIDABLE/ N.O. | 532.00 |
| Activación de GPS Globalstar ACTIVACIONGS | ACTIVACIONGS | ACTIVACION DE GPS PARA EL USO DE SERVICIO DE SATELITES GLOBALSTAR | 805.00 |
| Servicio Mensual Satélites Globalstar SIMPLEXGS | SIMPLEXGS | SERVICIO MENSUAL DEL USO DE SATÉLITES GLOBALSTAR Y SERVICIO DE PLATAFORMA EPCOM GPS | 407.58 |
| Servicio Mantenimiento a Control de Acceso MANTCONTACC | MANTCONTACC | SERVICIO DE MANTENIMIENTO A CONTROL DE ACCESO/REVISION Y AJUSTE DE CERRADURAS/VERIFICACION DE CABLEADO/ REVISION DE FUENTES DE PODER Y RESPALDOS. | 870.00 |
| Montaje en "U" para Chapa en Vidrio DS-K4H258-U | DS-K4H258-U | MONTAJE EN "U" PARA INSTALACIÓN DE CHAPA MAGNÉTICA DS-K4H258S EN PUERTA DE CRISTAL (VIDRIO) | 395.80 |
| Bobina Cable Cat6+ Exterior Blindado PRO-CAT-6-EXT | PRO-CAT-6-EXT | BOBINA DE CABLE DE 305 METROS CAT6+ CALIBRE 23 EXTERIOR BLINDADO TIPO FTP PARA CLIMAS EXTREMOS, UL, COLOR NEGRO | 6063.97 |
| Cámara Bala IP 4MP Color 24/7 Acusense DS-2CD1047G2-L(UF) | DS-2CD1047G2-L(UF) | BALA IP 4 MEGAPIXEL / ACUSENSE LITE (DETECCIÓN DE MOVIMIENTO EN HUMANOS Y VEHÍCULOS ) / LENTE 2.8 MM / LUZ BLANCA 30 MTS / IMAGEN A COLOR 24/7 / MICRÓFONO INTERCONSTRUIDO / IP67 / WDR 120 DB / POE / MICROSD | 3280.00 |
| Liquidación de Cotización LIQUIDACION DE LA COTIZACION # | LIQUIDACION DE LA COTIZACION # | LIQUIDACION DE LA COTIZACION # | 948.28 |
| Tarjeta de Proximidad Estándar ATR14 | ATR14 | TARJETA DE PROXIMIDAD ESTÁNDAR, PERFORADA (GRUESA), FABRICADA CON EL PVC MÁS RESISTENTE DE LA INDUSTRIA | 90.00 |
| Servicio Instalación y Configuración de Chapa SERVI1047 | SERVI1047 | SERVICIO DE INSTALACION Y CONFIGURACION DE CHAPA | 250.00 |
| Abono Diferido ABONODIFERIDO | ABONODIFERIDO | ABONO # DE LA COTIZACION # SOBRE | 1633.66 |
| Placa de Pared Vertical 2 Puertos con Etiqueta NK2FIWY | NK2FIWY | PLACA DE PARED VERTICAL, SALIDA PARA 2 PUERTOS KEYSTONE, CON ESPACIOS PARA ETIQUETAS, COLOR BLANCO MATE | 60.00 |
| Placa de Pared Vertical 1 Puerto con Etiqueta NK1FIWY | NK1FIWY | PLACA DE PARED VERTICAL, SALIDA PARA 1 PUERTO KEYSTONE, CON ESPACIOS PARA ETIQUETAS, COLOR BLANCO MATE | 76.56 |
| Cámara Turret TurboHD 2MP con Audio THC-T120-MS | THC-T120-MS | TURRET TURBOHD 2 MEGAPIXEL (1080P) / GRAN ANGULAR 106° / LENTE 2.8 MM / AUDIO POR COAXITRON / 30 MTS IR EXIR / EXTERIOR IP66 / 4 TECNOLOGÍAS / DWDR | 790.00 |
| Alambre Suave Acero Inoxidable Cal 14 ALAM14AWG | ALAM14AWG | ALAMBRE SUAVE ACERO INOXIDABLE CAL 14 | 650.00 |
| Caja de Derivación PVC 6 Entradas GW-44-004 | GW-44-004 | CAJA DE DERIVACIÓN DE PVC AUTO-EXTINGUIBLE CON 6 ENTRADAS, TAPA ATORNILLADA, 100X100X50 MM, (MEDIDAS INTERNAS, MAYOR ÁREA PERMISIBLE PARA E CABLE, PARA EXTERIOR (IP55) | 150.00 |
| Plug RJ45 Cat5e P-8-8 | P-8-8 | PLUG RJ45 CAT5E, PARA CABLE UTP CALIBRE 22 A 26 AWG, CHAPADO EN ORO DE 50 MICRAS | 19.00 |
| Kit Transceptores Activos TurboHD TT-101-PV-TURBO | TT-101-PV-TURBO | KIT DE TRANSCEPTORES ACTIVOS CON CONECTOR PARA ALIMENTACIÓN (12V/24VCC/AC) TURBOHD PARA APLICACIONES DE VIDEO POR UTP CAT5E/6 EN HD. DISTANCIA DE HASTA 150 M EN 4K | 290.00 |
| Kit Extensor HDMI 1080p 120m TT383PRO-4.0 | TT383PRO-4.0 | KIT EXTENSOR HDMI PARA DISTANCIAS DE 120 METROS / RESOLUCIÓN 1080P A 60HZ / CAT 5E/6 / SOPORTA CONEXIÓN UNO A UNO Y UNO A MUCHOS / SOPORTA HASTA 253 RX / SALIDA LOOP / BAJA LATENCIA / USO 24/7 / SOPORTA HDBITT / COMPATIBLE CON SWITCH GIGABIT | 2900.01 |
| Sellador Acrílico 280ml UNIPEGA | UNIPEGA | UNIPEGA SELLADOR ACRILICO 280ml BLANCO | 5.00 |
| NVR 8 Canales 4MP con PoE DS-7108NI-Q1/8P(C) | DS-7108NI-Q1/8P(C) | NVR 4 MEGAPIXEL (COMPATIBLE CON CÁMARAS ACUSENSE) / 8 CANALES IP / 8 PUERTOS POE /1 BAHÍA DE DISCO DURO / SALIDA DE VÍDEO FULL HD | 3227.59 |
| Kit Videoportero Analógico DS-KIS203-T | DS-KIS203-T | KIT DE VIDEOPORTERO ANALÓGICO CON PANTALLA LCD A COLOR DE 7" / FRENTE DE CALLE PARA EXTERIOR IP65 / SALIDA DE RELEVADOR | 2704.23 |
| Gabinete Metálico para DVR/NVR GABVID2R3 | GABVID2R3 | GABINETE METÁLICO PARA DVR/NVR. TAMAÑO MAX. DE DVR/NVR: 445 X 88 X 400MM (AN.XAL.XPROF.). COMPATIBLE CON FUENTE SLIM. | 2461.20 |
| Cámara Dual 4G+WiFi JC400 | JC400 | CÁMARA DUAL 4G+WIFI, 1080P, BOTÓN DE PÁNICO, ACCESO A MEMORIA MICROSD PROTEGIDO, ACELERÓMETRO ANDROID, I/O | 5331.90 |
| Memoria SD 128GB Clase 10 HS-SD-P10/128G | HS-SD-P10/128G | MEMORIA SD CLASE 10 DE 128 GB / ESPECIALIZADA PARA VIDEOVIGILANCIA | 1239.66 |
| SIM Telcel 1GB Mensual SIM1GBTELCEL550 | SIM1GBTELCEL550 | SIM TELCEL, SERVICIO ANUAL, 1GB POR MES (SOLO DATOS) | 2966.38 |
| Kit Dash Cam 4G LTE AE-DI5042-G4+ | AE-DI5042-G4+ | KIT DASH CAM 4G LTE DE TABLERO DE 2 MEGAPIXEL (1080P) Y FOTOS DE 4 MEGAPIXEL / DBA (ANÁLISIS DE CHOFER) / DETECCIÓN FACIAL / WIFI / GPS / SENSOR G / MICRÓFONO Y BOCINA INTEGRADO / MEMORIA MICRO SD / SOPORTA APP REMOTO | 5018.97 |
| Cámara Bala TurboHD 1MP Climas Extremos LB7-TURBO-G2PW | LB7-TURBO-G2PW | BALA TURBOHD 1 MEGAPÍXEL (720P) / CLIMAS EXTREMOS / GRAN ANGULAR 92° / LENTE 2.8 MM / IR EXIR INTELIGENTE 20 MTS / EXTERIOR IP66 / 4 TECNOLOGÍAS (TVI / AHD / CVI / CVBS) | 750.00 |
| Regulador de Voltaje 1000VA CL1000VR | CL1000VR | REGULADOR DE VOLTAJE DE 1000VA/500W, ENTRADA NEMA 5-15P, CON 8 SALIDAS NEMA 5-15R Y SUPRESIÓN DE PICOS A 245 JOULES | 705.79 |
| Diferencia de Equipos DIFER1045 | DIFER1045 | DIFERENCIA DE EQUIPOS | 10.00 |
| Checador de Huella y Tarjetas K-30 | K-30 | CHECADOR DE HUELLA Y TARJETAS PARA TIEMPO Y ASISTENCIA CON BATERÍA DE RESPALDO/ COMUNICACIÓN TCP/IP / REPORTES DIRECTO A EXCEL POR USB (FUNCIÓN SSR) / SALIDA DE RELEVADOR PARA CERRADURA | 3160.00 |
| Sensor de Combustible Ultrasónico USFSCX | USFSCX | SENSOR DE COMBUSTIBLE ULTRASÓNICO, SIN PERFORAR TANQUE (SE COLOCA ABAJO DEL TANQUE) | 4842.00 |
| Calibrador para Sensor de Combustible CFSCX | CFSCX | CALIBRADOR PARA SENSOR DE COMBUSTIBLE ULTRASONICO | 668.00 |
| Cable Programador y Cargador USB PLUSB | PLUSB | CABLE PROGRAMADOR Y CARGADOR USB A MICRO USB COLOR NEGRO (INCLUYE CUBO CARGADOR) | 250.00 |
| Cerradura Autónoma Bluetooth TL-400BR | TL-400BR | CERRADURA AUTÓNOMA DERECHA BLUETOOTH DE HUELLA DIGITAL, TARJETA DE PROXIMIDAD Y CONTRASEÑA / APP ZK SMART KEY | 6880.00 |
| Montaje para Puerta de Vidrio BU600LED | BU600LED | MONTAJE PARA PUERTA DE VIDRIO / COMPATIBLE CON CHAPA MAG600LED/MAG600NLED/MAG600NTLED | 600.00 |
| Montajes en U para Cristal BU600NDLED | BU600NDLED | MONTAJES EN U PARA PUERTAS DE SOLO CRISTAL ( PUERTA Y MARCO) PARA USO CON CHAPA MAGNÉTICA MAG600NLED Y MAG600NTLED | 1097.52 |
| Switch Administrable PoE 8+2SFP RG-NBS3100-8GT2SFP-P | RG-NBS3100-8GT2SFP-P | SWITCH ADMINISTRABLE POE CON 8 PUERTOS GIGABIT POE 802.3AF/AT + 2 SFP PARA FIBRA 1GB, GESTIÓN GRATUITA DESDE LA NUBE, 125W | 5190.00 |
| Punto de Acceso Omada para Pared EAP235-WALL | EAP235-WALL | PUNTO DE ACCESO OMADA DOBLE BANDA AC1200/ POE ENTRADA 802.3AF/AT / MU-MIMO 2X2 DISEÑO PARA PARED CON TRES PUERTOS ADICIONALES / SOPORTA HASTA 100 CLIENTES. | 2200.00 |
| Switch PoE Administrable 8+2SFP TL-SG2210MP | TL-SG2210MP | SWITCH POE JETSTREAM SDN ADMINISTRABLE 8 PUERTOS 10/100/1000 MBPS + 2 PUERTOS SFP, 8 PUERTOS POE, 150W, ADMINISTRACIÓN CENTRALIZADA OMADA SDN | 5700.00 |
| Transformador de Pared 12VCA 30VA RT1230LS | RT1230LS | TRANSFORMADOR DE PARED 12 VCA 30 VA | 236.69 |
| Fuente Profesional 16A 8 Canales XP8-DC-16-4KV | XP8-DC-16-4KV | FUENTE DE PODER PROFESIONAL HEAVY DUTY @ 16 AMPERES / 8 CANALES / HASTA 2A POR SALIDA / AJUSTE INDEPENDIENTE DE 11 A 15 VCC POR SALIDA / PROTECCIÓN CONTRA SOBRECARGAS / FILTRO DE RUIDO ESPECIAL PARA CÁMARAS 4K | 1845.00 |
| Lote de Materiales Misceláneos LOTEM | LOTEM | LOTE DE MATERIALES MISELANEOS | 150.00 |
| Caja de Montaje 2"x4" para Estación SBI/O | SBI/O | CAJA DE MONTAJE 2" X 4" PARA ESTACIÓN MANUAL DE JALÓN SILENT KNIGHT | 483.00 |
| Detector de Humo y Calor Inalámbrico WS4936 | WS4936 | DETECTOR DE HUMO FOTOELÉCTRICO Y CALOR INALÁMBRICO CON FRECUENCIA 433 MHZ COMPATIBLE CON POWER SERIES, IMPASSA Y MAXSYS | 2348.41 |
| Cerradura Autónoma Bluetooth ML200 | ML200 | CERRADURA AUTÓNOMA BLUETOOTH COMPATIBLE CON SLG200 PARA ADMINISTRACIÓN POR INTERNET | 3410.00 |
| Fabricación de Filtros para Detectores HFILPVC | HFILPVC | FABRICACIÓN DE FILTROS PARA DETECTOR DE HUMO, PVC, TELA, E INSTALACIÓN Y PRUEBAS CON EQUIPOS (INCLUYE MATERIALES DE FIJACIÓN) | 620.00 |
| Servicio Mensual Rastreo GPS SERGPS | SERGPS | SERVICIO MENSUAL DE RASTREO SATELITAL GPS, PLATAFORMA WEB, MOVIL CON REPOSTE CADA 60 SEGUNDOS | 290.00 |
| Punto de Acceso Wi-Fi5 RG-RAP2200(E) | RG-RAP2200(E) | PUNTO DE ACCESO WI-FI5 PARA INTERIOR EN TECHO HASTA 1.2GBPS DOBLE BANDA 802.11AC MU-MIMO 2X2, PUERTOS GIGABIT | 2475.00 |
| Cable de Programación para GT06E GT06EUSB | GT06EUSB | CABLE DE PROGRAMACION PARA LOCALIZADOR GT06E | 197.00 |
| Plataforma Avanzada GPS Anual EPCOMGPSANUAL | EPCOMGPSANUAL | PLATAFORMA AVANZADA PARA LOGÍSTICA, RASTREO GPS, VIDEO MÓVIL Y IOT / ANUALIDAD (LICENCIA PARA 1 LOCALIZADOR GPS/DVR MÓVIL) | 1748.00 |
| SIM 25MB Mensual GPS MICSIM25GPS | MICSIM25GPS | MICA CON 1 AÑO DE SERVICIO, 25MB AL MES MULTI-CARRIER(TELCEL/MOVISTAR) ESPECIAL PARA GPS | 1752.00 |
| Kit Sensor Perimetral IRONCLAD IROC-2Z-500 | IROC-2Z-500 | KIT DE CABLE SENSOR PERIMETRAL PARA CERCAS CICLONICAS IRONCLAD/ 305 METROS / 2 ZONAS; 152 METROS POR ZONA / SIN FALSAS ALARMAS POR VIENTO / TODO INCLUIDO | 63985.00 |
| Panel Control de Acceso 2 Puertas SYSCA-2R-2D | SYSCA-2R-2D | C3200 PANEL DE CONTROL DE ACCESO PARA 2 PUERTAS / FÁCIL ADMINISTRACIÓN / 30,000 TARJETAS / INCLUYE GABINETE Y FUENTE DE ALIMENTACIÓN 12VCC/3A / SOFTWARE GRATIS | 6247.76 |
| Barrera Vehicular Derecha 5.5m XBS-5000-RN | XBS-5000-RN | BARRERA VEHICULAR DERECHA / SOPORTA BRAZO DE HASTA 5.5 M / FINAL DE CARRERA AJUSTABLE POR PROGRAMACIÓN / MOVIMIENTO FLUIDO / DISEÑO ELEGANTE COLOR NARANJA | 18200.00 |
| Módulo Transceptor Power G HSM2HOST | HSM2HOST | MÓDULO TRANSCEPTOR POWER G FUNCIÓN DE HOST SOPORTA 128 ZONAS INALAMBRICAS COMPATIBLE CON PANEL NEO, PRO | 3770.00 |
| Caja Condulet Tipo LB 3/4" OLB-0088C | OLB-0088C | CAJA CONDULET TIPO LB DE 3/4" (19.05 MM) INCLUYE TAPA Y TORNILLOS | 108.19 |
| Abrazadera Uña para Conduit 3/4" ANC-UC-34 | ANC-UC-34 | ABRAZADERA TIPO UÑA PARA TUBO CONDUIT PARED DELGADA DE 3/4" (19 MM). | 8.00 |
| Sensor de Masa Mono Canal 10-MATRIX-IIS-1224 | 10-MATRIX-IIS-1224 | SENSOR DE MASA MONO CANAL / IDEAL PARA AUTOMATIZACIÓN DE BARRERAS VEHICULARES | 1950.00 |
| Servicio Monitoreo My Alarm (Botón Pánico) MY ALARM BOTON DE PANICO | MY ALARM BOTON DE PANICO | SERVICIO MONITOREO MENSUAL DE MY ALARM (BOTON DE PANICO) | 290.00 |
| Alambre Galvanizado Calibre 16 ALG-160 | ALG-160 | ALAMBRE GALVANIZADO, CALIBRE 16 | 184.00 |
| Controladora Omada OC200 | OC200 | CONTROLADORA OMADA PARA GESTIONAR HASTA 100 EQUIPOS OMADA/ GESTION DESDE LA NUBE GRATUITA / ACTUALIZACIONES MASIVAS / 2 PUERTOS GIGABIT CON POE AF/AT | 3125.90 |
| Switch Administrable 8+2SFP TL-SG3210 | TL-SG3210 | SWITCH JETSTREAM SDN ADMINISTRABLE 8 PUERTOS 10/100/1000 MBPS + 2 PUERTOS SFP, ADMINISTRACIÓN CENTRALIZADA OMADA SDN | 2666.00 |
| Anualidad Actualización Servicio M2M M2MUPEXT | M2MUPEXT | PAGO DE ANUALIDAD PARA ACTUALIZACIÓN DE SERVICIO M2M ESTÁNDAR A UN SERVICIO EXTENDIDO EXCLUSIVAMENTE PARA COMUNICADOR MINI014GV2 | 890.00 |
| Rastreador Vehicular LTE 4G FMC130 | FMC130 | PROFESIONAL RASTREADOR VEHICULAR LTE 4G Y 2G CON BLUETOOTH ADEMAS DE MULTIPLES ENTRADAS Y SALIDAS DIGITALES | 1984.00 |
| Relevador 12V 5 Pines 12VRELAY | 12VRELAY | RELEVADOR DE 5 PINES AUTOMOTRIZ DE 12 VOLTS | 96.76 |
| Sensor de Combustible BLE 4.0 TDBLE1000 | TDBLE1000 | SENSOR DE COMBUSTIBLE PARA LOCALIZADOR VEHICULAR BLE 4.0/ SIN CABLES / FACIL INSTALACIÓN / 1000MM RECORTABLE | 3807.97 |
| Mini Domo PTZ IP 4MP PTZ-N2404I-DE3(F) | PTZ-N2404I-DE3(F) | MINI DOMO PTZ IP 4 MEGAPIXEL / 4X ZOOM / H.265+ / 20 MTS IR EXIR / WDR / POE / IK10 / EXTERIOR IP66 / ULTRA BAJA ILUMINACIÓN / MICRÓFONO INTEGRADO / POE | 4200.00 |
| Domo PTZ IP 4MP 15x DarkFighter DS-2DE4415IW-DE(T5) | DS-2DE4415IW-DE(T5) | DOMO PTZ IP 4 MEGAPIXEL / 15X ZOOM / 100 MTS IR / EXTERIOR IP66 / DARKFIGHTER / ACUSENSE (EVITA FALSAS ALARMAS) / DETECCIÓN FACIAL / WDR 120 DB / ENTRADA Y SALIDA DE AUDIO Y ALARMAS / HLC / EIS / POE+ / MICROSD | 7953.27 |
| Switch Gigabit 16 Puertos GSW-1601 | GSW-1601 | SWITCH NO ADMINISTRABLE GIGABIT DE 16 PUERTOS 10/100/1000 MBPS, CON MODO EXTENDIDO PARA DISTANCIAS DE HASTA 200 M | 2391.99 |
| Bobina Cable Cat6+ Exterior 152.5m PRO-CAT-6-EXT/500 | PRO-CAT-6-EXT/500 | BOBINA DE 152.5 METROS CAT6+ CALIBRE 23 EXTERIOR BLINDADO TIPO FTP PARA CLIMAS EXTREMOS, UL PARA APLICACIONES DE VIDEO VIGILANCIA Y REDES DE DATOS. PARA USO EN INTEMPERIE. | 3400.00 |
| Canaleta TEK-100 TEK-100 | TEK-100 | CANALETA CON TAPA EN COLOR BLANCO DE PVC AUTO EXTINGUIBLE 100 X 52 X 2500MM (5501-01250) | 828.00 |
| Esquinero Interior TEK-100 TEK-100-EI | TEK-100-EI | ESQUINERO INTERIOR EN COLOR BLANCO DE PVC AUTO EXTINGUIBLE, PARA CANALETA TEK100 (5576-11100) | 218.00 |
| Esquinero Exterior TEK-100 TEK-100-EE | TEK-100-EE | ESQUINERO EXTERIOR EN COLOR BLANCO DE PVC AUTO EXTINGUIBLE, PARA CANALETA TEK100 (5576-11100) | 218.00 |
| Placa de Pared Vertical 4 Puertos NK4FWHY | NK4FWHY | PLACA DE PARED VERTICAL, SALIDA PARA 4 PUERTOS KEYSTONE, CON ESPACIOS PARA ETIQUETAS, COLOR BLANCO | 65.00 |
| Canaleta 60x20 3 Vías D06020 | D06020 | CANALETA 60X20 3 VIAS 2 METROS DLP-S | 224.00 |
| Caja de Registro Universal TMK-S1 | TMK-S1 | CAJA DE REGISTRO UNIVERSAL, COLOR BLANCO DE PVC AUTO EXTINGUIBLE (7902-02001) | 89.00 |
| Tapa Final TEK-100 TEK-100-F | TEK-100-F | TAPA FINAL EN COLOR BLANCO DE PVC AUTO EXTINGUIBLE, PARA CANALETA TEK100 (5591-02001) | 50.00 |
| Domo PTZ IP 4MP 25x DS-2DE4425W-DE(S6) | DS-2DE4425W-DE(S6) | DOMO PTZ IP 4 MEGAPIXEL / 25X ZOOM / EXTERIOR IP66 / IK10 / WDR / 3D-DNR / BLC / POE+ / ENTRADA-SALIDA AUDIO Y ALARMA / MICROSD | 10067.00 |
| Servicio Renta de Andamios ANDAMIO21.5 | ANDAMIO21.5 | SERVICIO DE RENTA DE ANDAMIOS / 1 JUEGO / INCLUYE DOS TABLONES Y ACARREOS | 350.00 |
| Cable Telefónico RJ11 1.5m TELUS80481.5M | TELUS80481.5M | CABLE TELEFÓNICO RJ11, PLANO, COLOR BLANCO, 1.5M | 45.00 |
| Tubo PVC Conduit Pesado 1" ATUP-100-TUB | ATUP-100-TUB | TUBO PVC CONDUIT PESADO DE 1" (25 MM) DE 3 M. | 161.00 |
| Tubo PVC Conduit Pesado 2" ATUP-200-TUB | ATUP-200-TUB | TUBO PVC CONDUIT PESADO DE 2" (51 MM) DE 3 M | 209.74 |
| Tubo PVC Conduit Pesado 1/2" ATUP-12-TUB | ATUP-12-TUB | TUBO PVC CONDUIT PESADO DE 1/2" (13MM) DE 3 M. | 63.79 |
| Servicio Instalación Switch de Corte SERVI1048 | SERVI1048 | SERVICIO DE INSTALACION DE SWITCH PARA CORTE DE CORRIENTE | 890.00 |
| Servicio Mantenimiento a Torniquetes MTO-TOR-01 | MTO-TOR-01 | SERVICIO DE MANTENIMIENTO A TORNIQUETES | 600.00 |
| Servicio Mantenimiento Cámara Turbo HD MTO-CAM-THD | MTO-CAM-THD | SERVICIO DE MANTENIMIENTO A CAMARA TURBO HD | 130.00 |
| Servicio Mantenimiento a DVR MTO-DVR-01 | MTO-DVR-01 | SERVICIO DE MANTENIMIENTO A DVR | 600.00 |
| Fuente Regulada para 8 Cámaras DS-2FA1205-C8/K | DS-2FA1205-C8/K | FUENTE DE PODER REGULADA 12 VCC / 13.5 VCC / 15 VCC PARA 8 CÁMARAS / 1 AMP POR SALIDA / VOLTAJE DE ENTRADA 90 - 130 VCA / SOPORTA 4K / MODO PARA LARGAS DISTANCIAS | 787.48 |
| Contacto Magnético Inalámbrico Largo Alcance DSC WS4925 | DSC WS4925 | DSC WS4925 - CONTACTO MAGNÉTICO INALÁMBRICO DE PUERTA/VENTANA C/ENTRADA AUXILIAR RANGO EXTENDIDO COMPATIBLE CON POWER SERIES, IMPASSA Y MAXSYS | 993.60 |
| Botón de Salida Piezo-Eléctrico EX-06E-0 | EX-06E-0 | BOTÓN DE SALIDA PIEZO-ELÉCTRICO/ CON TEMPORIZADOR / COLOR DE LED CONFIGURABLE/ IP65. | 1515.00 |
| Fuente de Poder con Respaldo 24VCA AL-TV244-UL | AL-TV244-UL | FUENTE DE PODER ALTRONIX DE 24 VCA @ 3.5 AMPER O 28 VCA @ 3.0 AMPER, PARA 4 CÁMARAS, CON VOLTAJE DE ENTRADA DE 115 VCA, CON CAPACIDAD DE BATERÍA DE RESPALDO, REQUIERE BATERÍA | 4185.00 |
| Relevador con Temporizador ELK960 | ELK960 | RELEVADOR CON TEMPORIZADOR / 3-60 SEG O 3-60 MIN | 870.00 |
| Batería AGM 12V 9Ah PL912 | PL912 | BATERÍA DE RESPALDO PARA EQUIPO ELECTRÓNICO / UL /12V @ 9 AH / TECNOLOGÍA AGM-VRLA / USO EN: ALARMAS DE INTRUSIÓN / INCENDIO / CONTROL DE ACCESO / VIDEO VIGILANCIA / TERMINALES TIPO F1 . | 855.75 |
